rank,name,net_worth,bday,age,nationality,Birthday,bazi_man,man年干,man年支,man月干,man月支,man日干,man日支,man時干,man時支
65,Satoshi Nakamoto,$22 Billion,5-Apr-75,73.0,Japan,1975-04-05,"['乙', '卯', '庚', '辰', '辛', '巳', '戊', '子']",乙,卯,庚,辰,辛,巳,戊,子
66,Qin Yinglin,$22 Billion,,57.0,China,,,,,,,,,,
67,James Simons,$22 Billion,25-Apr-38,84.0,United States of America,2038-04-25,"['戊', '午', '丙', '辰', '壬', '申', '庚', '子']",戊,午,丙,辰,壬,申,庚,子
68,Wang Wei,$22 Billion,,51.0,China,,,,,,,,,,
69,James Dyson,$22 Billion,2-May-47,75.0,United Kingdom,2047-05-02,"['丁', '卯', '甲', '辰', '丙', '寅', '戊', '子']",丁,卯,甲,辰,丙,寅,戊,子
70,Aliko Dangote,$21 Billion,10-Apr-57,65.0,Nigeria,2057-04-10,"['丁', '丑', '甲', '辰', '丁', '酉', '庚', '子']",丁,丑,甲,辰,丁,酉,庚,子
71,Leonard Lauder,$21 Billion,19-Mar-33,89.0,United States of America,2033-03-19,"['癸', '丑', '乙', '卯', '己', '巳', '甲', '子']",癸,丑,乙,卯,己,巳,甲,子
72,Andrey Melnichenko,$21 Billion,8-Mar-72,50.0,Russia,2072-03-08,"['壬', '辰', '癸', '卯', '癸', '未', '壬', '子']",壬,辰,癸,卯,癸,未,壬,子
73,Sir Evelyn De Rothschild,$20 Billion,29-Aug-31,90.0,England,2031-08-29,"['辛', '亥', '丙', '申', '辛', '丑', '戊', '子']",辛,亥,丙,申,辛,丑,戊,子
74,Salman bin Abdulaziz Al Saud,$20 Billion,31-Dec-35,86.0,Saudi Arabia,2035-12-31,"['乙', '卯', '戊', '子', '丙', '寅', '戊', '子']",乙,卯,戊,子,丙,寅,戊,子
75,Alexey Mordashov,$20 Billion,26-Sep-65,56.0,Russia,2065-09-26,"['乙', '酉', '乙', '酉', '戊', '辰', '壬', '子']",乙,酉,乙,酉,戊,辰,壬,子
76,John Menard,$20 Billion,22-Jan-40,82.0,United States of America,2040-01-22,"['己', '未', '丁', '丑', '己', '酉', '甲', '子']",己,未,丁,丑,己,酉,甲,子
77,Elaine Marshall,$20 Billion,18-Nov-45,76.0,United States of America,2045-11-18,"['乙', '丑', '丁', '亥', '丙', '子', '戊', '子']",乙,丑,丁,亥,丙,子,戊,子
78,Rupert Murdoch,$20 Billion,11-Mar-31,91.0,Australia,2031-03-11,"['辛', '亥', '辛', '卯', '庚', '戌', '丙', '子']",辛,亥,辛,卯,庚,戌,丙,子
79,Dan Gilbert,$20 Billion,17-Jan-62,60.0,United States of America,2062-01-17,"['辛', '巳', '辛', '丑', '庚', '子', '丙', '子']",辛,巳,辛,丑,庚,子,丙,子
80,Leonid Mikhelson,$20 Billion,11-Aug-55,67.0,Russia,2055-08-11,"['乙', '亥', '甲', '申', '己', '丑', '甲', '子']",乙,亥,甲,申,己,丑,甲,子
81,Pallonji Mistry,$19 Billion,1-Jun-29,,India,2029-06-01,"['己', '酉', '己', '巳', '壬', '戌', '庚', '子']",己,酉,己,巳,壬,戌,庚,子
82,Susanne Klatten,$19 Billion,28-Apr-62,60.0,Germany,2062-04-28,"['壬', '午', '甲', '辰', '辛', '巳', '戊', '子']",壬,午,甲,辰,辛,巳,戊,子
83,Eduardo Saverin,$19 Billion,19-Mar-82,40.0,Brazil,1982-03-19,"['壬', '戌', '癸', '卯', '辛', '丑', '戊', '子']",壬,戌,癸,卯,辛,丑,戊,子
84,Vladimir Lisin,$19 Billion,7-May-56,66.0,Russia,2056-05-07,"['丙', '子', '癸', '巳', '己', '未', '甲', '子']",丙,子,癸,巳,己,未,甲,子
85,James Ratcliffe,$19 Billion,18-Oct-52,69.0,United Kingdom,2052-10-18,"['壬', '申', '庚', '戌', '壬', '午', '庚', '子']",壬,申,庚,戌,壬,午,庚,子
86,Laurene Powell Jobs,$19 Billion,6-Nov-63,58.0,United States of America,2063-11-06,"['癸', '未', '壬', '戌', '戊', '戌', '壬', '子']",癸,未,壬,戌,戊,戌,壬,子
87,Lakshmi Mittal,$18 Billion,2-Sep-50,71.0,India,2050-09-02,"['庚', '午', '甲', '申', '乙', '酉', '丙', '子']",庚,午,甲,申,乙,酉,丙,子
88,David & Simon Reuben,$18 Billion,,,United Kingdom,,,,,,,,,,
89,Sheikh Khalifa Bin Zayed Al Nahyan,$18 Billion,25-Jan-48,74.0,United Arab Emirates,2048-01-25,"['丁', '卯', '癸', '丑', '甲', '午', '甲', '子']",丁,卯,癸,丑,甲,午,甲,子
90,Alisher Usmanov,$18 Billion,9-Sep-53,68.0,Russia,2053-09-09,"['癸', '酉', '辛', '酉', '戊', '申', '壬', '子']",癸,酉,辛,酉,戊,申,壬,子
91,Lukas Walton,$18 Billion,,36.0,United States of America,,,,,,,,,,
92,Serge Dassault,$17.3 Billion,4-Apr-25,97.0,France,2025-04-04,"['乙', '巳', '庚', '辰', '癸', '卯', '壬', '子']",乙,巳,庚,辰,癸,卯,壬,子
93,Pavel Durov,$17 Billion,10-Oct-84,37.0,Russia,1984-10-10,"['甲', '子', '甲', '戌', '丁', '丑', '庚', '子']",甲,子,甲,戌,丁,丑,庚,子
94,Donald Bren,$17 Billion,11-May-32,90.0,United States of America,2032-05-11,"['壬', '子', '乙', '巳', '丁', '巳', '庚', '子']",壬,子,乙,巳,丁,巳,庚,子
95,Thomas Peterffy,$17 Billion,30-Sep-44,77.0,United States of America,2044-09-30,"['甲', '子', '癸', '酉', '壬', '午', '庚', '子']",甲,子,癸,酉,壬,午,庚,子
96,Prince Al Waleed Bin Talal Alsaud,$17 Billion,7-Mar-55,67.0,Saudi Arabia,2055-03-07,"['乙', '亥', '己', '卯', '壬', '子', '庚', '子']",乙,亥,己,卯,壬,子,庚,子
97,Harold Hamm,$17 Billion,11-Dec-45,76.0,United States of America,2045-12-11,"['乙', '丑', '戊', '子', '己', '亥', '甲', '子']",乙,丑,戊,子,己,亥,甲,子
98,Viktor Vekselberg,$17 Billion,14-Apr-57,65.0,Russia,2057-04-14,"['丁', '丑', '甲', '辰', '辛', '丑', '戊', '子']",丁,丑,甲,辰,辛,丑,戊,子
99,Steven Cohen,$16 Billion,11-Jun-56,66.0,United States of America,2056-06-11,"['丙', '子', '甲', '午', '甲', '午', '甲', '子']",丙,子,甲,午,甲,午,甲,子
100,Stefan Quandt,$16 Billion,9-May-66,56.0,Germany,2066-05-09,"['丙', '戌', '癸', '巳', '癸', '丑', '壬', '子']",丙,戌,癸,巳,癸,丑,壬,子
